No,food,makanan,kalori,lemak,karbohidrat,gula,protein,serat,kolesterol,natrium,air,vitamin_A,vitamin_B1,vitamin_B11,vitamin_B12,vitamin_B2,vitamin_B3,vitamin_B5,vitamin_B6,vitamin_C,vitamin_D,vitamin_E,vitamin_K,kalsium,zat_besi,magnesium,fosfor,kalium,zinc,kepadatan_nutrisi
528,egg white dried,putih telur kering,26,87,0.3,0,5.8,0,0,52,0.6,0,41,0.06,77,0.2,49,0.1,59,0,0,0,0,6.2,28,5,6.2,78.1,0,12.343
529,egg yolk raw,kuning telur mentah,55,4.5,0.6,0.08,2.7,0,184.5,6,8.9,9,14,0.04,98,64,42,0.5,61,0,78,0.4,34,21.9,0.5,0.9,66.3,18.5,0.4,30.27
530,baking soda,soda kue,0,0,0,0,0,0,0,1.3,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
531,egg dried,telur kering,30,2.2,47,0.05,2.4,0,81.5,0.06,0.2,44,26,16,0.09,0.02,79,0.3,75,0,27,0.1,75,11.8,0.2,1.7,31.5,27,0.2,16.62
532,strawberry topping,topping stroberi,53,96,13.9,5.7,14,0.1,0,99,6.9,0,77,0.03,0,51,49,63,24,2.9,0,79,29,1.3,14,0.8,1.1,10.7,79,18.34
533,bakers yeast dry,ragi roti kering,13,0.3,1.6,0,1.6,1.1,0,81,0.2,0,0.4,2,14,0.2,1.6,0.5,8,38,0,0,88,1.2,51,2.2,25.5,38.2,0.3,5.927
534,almond paste,pasta almond,1040,63,108.5,82.3,20.4,10.9,0,51,32,0,0.2,0.2,0,0.9,3.2,0.3,51,0.2,0,30.7,0,390.4,3.6,295.1,585.7,712.8,3.4,597
535,cream of tartar,krim tartar,8,0,1.8,0,0,0.01,0,9,32,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.1,73,0.2,495,54,2.138
536,popover dry mix,campuran kering popover,631,7.3,120.7,0,17.7,0,0,1.5,19.9,0,0.7,0.2,8,0.2,5.7,0.8,72,0.2,0,0,0,54.4,5,42.5,170,170,1.5,205.3
537,egg substitute powder,bubuk pengganti telur,126,3.7,6.2,6.2,15.7,0,161.9,0.2,1.1,0.1,6,17,49,0.5,0.2,1,74,0.2,0,0.4,25,92.3,0.9,18.4,135.3,210.6,0.5,119.1
538,gelatin powder,bubuk gelatin,17,86,0,0,4.3,0,0,29,0.7,0,33,15,0,28,63,39,14,0,0,0,0,2.8,99,1.1,2,0.8,4,7.255
539,tapioca pearls,mutiara tapioka,544,93,134.8,5.1,0.3,1.4,0,77,16.7,0,16,1,0,0,0,0.2,91,0,0,0,0,30.4,2.4,1.5,10.6,16.7,0.2,169.318
540,baking powder,bubuk pengembang,2,0,1.3,0,0,0.03,0,0.5,0.2,0,0,0,0,0,0,0,0,0,0,0,0,270.3,0.5,1.2,100.8,0.9,91,272.196
541,egg boiled,telur rebus,93,6.4,0.7,0.7,7.5,0,223.8,42,44.8,0.04,69,72,15,0.3,38,0.8,56,0,19,0.6,69,30,0.7,6,103.2,75.6,0.6,45.338
542,millet flour,tepung millet,444,5.1,86.9,2,12.8,4.2,0,56,12.8,0,0.5,32,0,0.01,7.2,1.5,0.4,0,0,0.1,37,16.7,4.7,141.6,339.2,266.6,3.1,130.4
543,triticale flour,tepung triticale,439,2.4,95.1,0,17.1,19,0,96,13,0,0.5,12,0,0.2,3.7,2.8,0.5,0,0,1.2,0,45.5,3.4,198.9,417.3,605.8,3.5,182.5
544,corn flour white,tepung jagung putih,414,4.2,87.3,1.8,9.6,7.3,0,36,11.2,0,0.3,78,0,0.1,1.9,0.2,0.5,0,0,0.1,0,157.3,1.7,106,263.3,298.7,2.1,267.4
545,rice flour brown,tepung beras coklat,574,4.4,120.8,1.3,11.4,7.3,0,39,18.9,0,0.7,56,0,0.1,10,2.5,1.2,0,0,1.9,0,17.4,3.1,177,532.5,456.6,3.9,164.4
546,sorghum flour,tepung sorgum,437,4,93.7,2.3,9.5,8,0,23,12.2,0,0.3,58,0,14,6.3,1.1,0.4,0,0,0.6,79,14.5,3.6,145.2,348.5,376.3,1.7,133.3
547,cornmeal whole grain,tepung jagung gandum utuh,442,4.4,93.8,0.8,9.9,8.9,0,22,12.5,0,0.5,34,0,0.2,4.4,0.5,0.4,0,0,0.5,59,7.3,4.2,154.9,294,350.1,2.2,128.5
548,cornmeal white,tepung jagung putih,581,2.7,124.7,2.5,11.2,6.1,0,94,17.6,0,0.2,89,0,16,1.6,0.4,0.3,0,0,0.2,0,4.7,1.7,50.2,155.4,222.9,1,151.1
549,barley flour,tepung jelai,511,2.4,110.3,1.2,15.5,14.9,0,62,17.9,0,0.5,21,0,0.2,9.3,0.2,0.6,0,0,0.8,69,47.4,4,142.1,438.1,457.3,3,194.5
550,safflower seed meal,tepung biji bunga matahari,97,0.7,13.8,0,10.1,0,0,6,1.8,0,0.3,22,0,0.1,0.6,1.1,0.3,0,0,0,0,21.8,1.4,99.1,180.6,19.2,1.4,47.8
551,sesame flour,tepung wijen,658,46.4,33.3,0,38.5,0,0,41,1.1,0,3.4,73,0,0.4,16.7,3.7,0.2,0,0,0,0,198.8,19,451.3,1008.8,528.8,13.3,336
552,whole grain wheat flour,tepung gandum utuh,408,3,86.4,0.5,15.9,12.8,0,27,12.9,0,0.6,66,0,0.2,5.9,0.7,0.5,0,0,0.9,25,40.8,4.3,164.4,428.4,435.6,3.1,163.2
553,corn flour yellow,tepung jagung kuning,422,4.5,89.9,0.7,8.1,8.5,0,0.04,12.8,0,0.3,0.04,0,36,2.2,0.8,0.4,0,0,0.5,6,8.2,2.8,108.8,318.2,368.6,2,122
554,corn flour whole grain,tepung jagung gandum utuh,422,4.5,89.9,0.7,8.1,8.5,0,33,12.8,0,0.3,21,0,35,2.2,0.8,0.4,0,0,0.5,71,8.2,2.8,108.8,318.2,368.6,2,122
555,cottonseed flour low fat,tepung biji kapas rendah lemak,94,0.4,10.2,0,14.1,0,0,22,2,0,0.6,16,0,0.1,1.1,0.1,0.2,0.7,0,0,0,134.1,3.6,202.6,449.1,498.4,3.3,163.1
556,sunflower seed flour,tepung biji bunga matahari,13,13,1.4,0,1.9,0.2,0,73,0.3,0,0.1,0.02,0,6,0.3,0.3,22,3,0,0,0,4.6,0.3,13.8,27.6,2.7,0.2,8.557
557,sesame meal,tepung wijen,160,13.6,7.4,0,4.8,0,0,73,1.4,0,0.7,0.01,0,94,3.6,0.8,81,0,0,0,0,43.3,4.1,97.9,219,114.9,2.9,73.2
558,acorn flour,tepung biji ek,626,37.7,68.3,0,9.4,0,0,0,7.5,0,0.2,0.1,0,0.2,3,1.2,0.9,0,0,0,0,53.8,1.5,137.5,128.8,890,0.8,170.7
559,rice flour white,tepung beras putih,578,2.2,126.6,0.2,9.4,3.8,0,0,18.8,0,0.2,58,0,14,4.1,1.3,0.7,0,0,0.2,0,15.8,0.6,55.3,154.8,120.1,1.3,158.4
560,sesame flour low fat,tepung wijen rendah lemak,94,0.5,10,0,14.2,0,0,72,2,0,0.7,73,0,92,3.5,0.8,0.02,0,0,0,0,42.2,4,95.7,214.2,112.4,2.8,70.9
561,potato flour,tepung kentang,571,0.5,133,5.6,11,9.4,0,42,10.4,0,0,0.4,43,0,0.06,5.6,0.8,1.2,6.1,0,0.4,0,0.3,2.2,0.5,268.8,31,155.4
562,cornmeal yellow,tepung jagung kuning,581,2.7,124.7,2.5,11.2,6.1,0,11,17.6,0,0.2,72,0,85,1.6,0.4,0.3,0,0,0.2,0,4.7,1.7,50.2,155.4,222.9,1,151.1
563,rye flour,tepung gandum hitam,364,1.4,78.2,0.9,10,8.2,0,61,11.6,0,0.3,47,0,68,0.8,0.7,0.2,0,0,0.8,79,13.3,0.9,32.6,132.6,228.5,1.4,112
564,arrowroot flour,tepung garut,457,0.1,112.8,0,0.4,4.4,0,2,14.6,0,13,43,0,0,0,0.2,32,0,0,0,0,51.2,0.4,3.8,6.4,14.1,67,169.3
565,chickpea flour,tepung kacang arab,356,6.2,53.2,10,20.6,9.9,0,0.05,9.5,0,0.4,0.4,0,37,1.6,0.6,0.5,0,0,0.8,3,41.4,4.5,152.7,292.6,778.3,2.6,135.8
566,wheat flour,tepung terigu,455,1.2,95.4,0.3,12.9,3.4,0,61,14.9,0,1,0.2,0,0.6,7.4,0.5,1,0,0,95,51,18.8,5.8,27.5,135,133.8,0.9,137.5
567,cornstarch,kanji dr tepung jagung,488,0.03,116.8,0,0.3,1.2,0,93,10.6,0,0,0,0,0,0,0,0,0,0,0,0,2.6,0.6,3.8,16.6,3.8,81,121.535
568,carob flour,tepung carob,13,61,5.3,2.9,0.3,2.4,0,33,0.2,0,0.09,7,0,79,0.1,38,29,88,0,46,0,20.9,0.2,3.2,4.7,49.6,87,29.18
569,buckwheat flour,tepung soba,402,3.7,84.7,3.1,15.1,12,0,33,13.4,0,0.5,35,0,0.2,7.4,0.5,0.7,0,0,0.4,44,49.2,4.9,301.2,404.4,692.4,3.7,169.6
570,pecan pie,Pai kemiri,503,27.1,63.7,0,6,0,106.1,0.3,23.8,46,0.2,83,61,0.2,1,0.6,34,0.2,0,0,0,39,1.8,31.7,114.7,162.3,1.2,137.891
571,apple pie,pai apel,331,15.6,46.4,0,3,0,0,0.3,59.1,78,0.2,0.02,0,0.1,1.5,0.1,9,2.1,0,0,0,8.8,1.4,8.8,35,98.8,0.2,77.358
572,vanilla wafer pie crust,kulit pai wafer vanila,935,63.7,88.4,12.9,6.5,0.2,68.6,0.9,15,0.4,0.3,71,81,0.4,3.7,0.5,82,0.2,59,5.4,28,73.9,2.9,17.6,137.3,139,0.4,236.2
573,chocolate pie crust,kulit pai coklat,881,40.8,117.4,47.9,11.1,4.9,0,0.9,9.1,0,0.6,0.1,0,0.5,5.6,0.3,49,0,0,3.3,78,58.2,7.8,72.8,218.4,340.3,3.8,240.2
574,apple strudel,strudel apel,195,8,29.2,18.3,2.3,1.6,4.3,0.02,30.9,11,87,82,9,16,0.2,0.2,31,1.2,0,1,2,10.7,0.3,6.4,23.4,105.8,0.1,53.359
575,chocolate snack cake,kue coklat camilan,200,8,30.2,18.9,1.8,1.6,0,0.2,9.3,1,51,79,11,13,0.5,67,68,1,0,0.5,0.08,58,1.8,18,43.5,88,0.5,102.459
576,fruit fried pie,Pai buah goreng,404,20.6,54.5,27.4,3.8,3.3,0,0.4,48.1,65,0.2,46,74,0.1,1.8,0.1,19,1.7,0,2.2,35,28.2,1.6,12.8,55,83.2,0.3,113.776
577,pumpkin pie,Pai labu,316,14.4,40.9,0,7,0,65.1,0.3,90.7,0.1,0.1,91,86,0.3,1.2,0.7,77,2.6,0,0,0,145.7,2,29.5,151.9,288.3,0.7,212.686
578,corn cake,kue jagung,35,0.2,7.5,2.1,0.7,0.2,0,0.01,0.4,13,57,84,0,84,0.5,23,74,0,0,0,0,1.7,0.1,10.3,14.1,14.1,0.2,10.437
579,sponge snack cake,kue bolu,157,4.8,26.9,15.7,1.5,0.4,17.2,0.2,8.2,95,91,96,34,22,0.7,0.06,0,89,98,0.3,11,10.1,0.6,3.4,77.7,29.8,0.3,44.404
580,danish pastry with nuts,kue kering Denmark dengan kacang,280,16.4,29.7,16.8,4.6,1.3,29.9,0.2,13.3,54,0.1,91,88,0.2,1.5,0.5,62,1.1,0,0.5,18,61.1,1.2,20.8,71.5,61.8,0.6,115.451
581,chocolate cream pie,pai krim coklat,301,19.2,33.3,0,2.6,2,5,0.1,43.1,0,2,93,0,0.1,0.7,0.4,23,0,0,0,0,35.6,1.1,20.8,67.3,125.7,0.2,93.8
582,angel food cake,kue bolu malaikat,72,0.2,16.2,0,1.7,0.4,0,0.2,9.3,0,95,39,35,0.1,0.2,46,58,0,0,0,0,39.2,0.1,3.4,90.7,26,55,57.8
583,lemon meringue pie,Pai lemon meringue,362,16.4,49.7,0,4.8,0,67.3,0.3,55,11,0.1,9,43,0.2,1.2,0.3,34,4.2,0,0,0,15.2,1.3,7.6,53.3,82.6,0.4,91.632
584,danish pastry with cinnamon,kue kering Denmark dengan kayu manis,349,16.7,46.9,0,4.8,0,27.3,0.3,18.4,58,0.3,72,41,0.2,2.2,0.6,49,2.6,0,0,0,37,1.8,14.1,73.9,95.9,0.5,109.897
585,cinnamon coffeecake,kue kopi kayu manis,238,13.3,26.6,0,3.9,1.1,18.2,0.2,12.5,49,0.1,0.02,85,0.1,1,0.4,46,0.2,0,0,0,30.8,1.1,12.5,61.6,70.1,0.5,77.089
586,cheesecake,kue keju,257,18,20.4,17.4,4.4,0.3,44,0.4,36.5,0.1,61,11,0.03,0.2,0.2,0.5,0.1,0.3,78,0.4,93,40.8,0.5,8.8,74.4,72,0.4,84.8
587,fruitcake,kue buah,139,3.9,26.5,11.8,1.2,1.6,2.2,13,10.9,0.06,4,63,0,63,0.3,15,8,0.2,0,0.4,32,14.2,0.9,6.9,22.4,65.8,0.1,48.507
588,egg custard,puding telur,293,12.9,31,31,14.2,0,236.9,0.2,222.4,0.1,0.1,25,81,0.7,0.3,1.6,0.1,0,0,0.6,97,301.7,1,31,318.7,417.4,1.5,360.9
589,mince pie,kue pastel berisi manisan,477,17.8,79.2,46.7,4.3,4.3,0,0.4,61.7,0,0.2,74,0,0.2,2,0.2,0.1,9.7,0,0.2,71,36.3,2.5,23.1,69.3,335,0.4,154.1
590,yellow cake with chocolate frosting,kue kuning dengan lapisan coklat,546,25.6,79.7,56.5,4.6,2.2,23,0.4,32.2,0,32,0,0,0.1,1.2,0.2,0,0,0,6.5,89,46.1,2.9,28.8,198.7,269.3,0.6,161.1
591,danish pastry with fruit,kue kering Denmark dengan buah,335,15.9,45.1,0,4.8,0,18.8,0.3,27.3,43,0.3,93,16,0.2,1.8,0.6,5,1.6,0,0,0,21.6,1.4,14.1,68.6,110,0.5,90.454
592,white cake with coconut frosting,kue putih dengan frosting kelapa,399,11.5,70.8,64.3,4.9,1.1,1.1,0.3,23.2,15,0.1,58,91,0.2,1.2,0.2,26,0.1,47,0.1,19,100.8,1.3,13.4,78.4,110.9,0.4,190.574
593,danish pastry with cheese,kue kering Denmark dengan keju,353,24.6,28.7,0,5.8,0,20,0.3,30.8,57,0.3,35,95,0.2,2.5,0.6,82,2.6,0,0,0,70.1,1.8,15.5,80.1,116.5,0.6,133.666
594,graham cracker pie crust,kulit pai biskuit graham,917,45.4,117.7,33.2,9.3,3.5,0,0.9,8,0,0.3,0.1,0,0.4,5.9,0.3,0.1,0,0,3.4,58,53.1,4.8,42.1,214.1,206.8,2.3,233.8
595,blueberry pie,Pai bluberi,360,17.5,49.2,0,4,0,0,0.3,75.3,0,0.2,73,0,0.2,1.8,0.2,15,1,0,0,0,10.3,1.8,11.8,44.1,73.5,0.3,83.8
596,yellow cake with vanilla frosting,kue kuning dengan frosting vanila,239,9.3,37.6,0,2.2,0.2,35.2,0.2,14.1,27,18,64,16,99,0.3,0.2,1,0,0,0,0,39.7,0.7,3.8,91.5,33.9,0.2,89.788
597,pie crust,kulit pai,121,8,10.9,45,1.5,0.4,0,0.1,2.3,0,4,4,0,88,0.8,48,75,0,0,33,38,2.3,0.7,3.2,15.4,15.4,0.1,23.8
598,chocolate cake with chocolate frosting,kue coklat dengan lapisan coklat,537,27.7,72.9,55.1,4.8,3,30.4,0.5,30.4,95,0,98,0,61,1.1,0.3,0,0.1,0,6,0.02,41.4,4.2,42.8,189.1,372.6,0.8,154.164
599,cheese coffeecake,kue kopi keju,258,11.6,33.7,0,5.3,0.8,64.6,0.3,24.5,82,98,1,49,0.07,0.5,0.3,86,41,0,0,0,44.8,0.5,11.4,76.8,219.6,0.4,96.831
600,vanilla cream pie,Pai krim vanila,350,18.1,41.1,16,6,0.8,78.1,0.3,59.2,0.1,0.2,64,86,0.3,1.2,0.5,6,0.6,76,0.6,0.01,113.4,1.3,16.4,131,158.8,0.7,181.4
601,pineapple cake,kue nanas,367,13.9,58.1,0,4,0.9,25.3,0.4,37.1,78,0.2,69,91,0.2,1.4,0.2,29,1.4,0,0,0,138,1.7,15,94.3,128.8,0.4,218.024
602,peach pie,Pai persik,262,11.7,38.5,19,2.2,0.9,0,0.3,63.6,0.06,25,89,0,82,0.2,0.1,47,1.1,0,1.1,23,9.4,0.6,7,25.7,146.3,0.1,64.447
603,fruit coffeecake,kue kopi buah,156,5.1,25.8,0,2.6,1.3,3.5,0.2,15.9,0,89,42,0,37,1.3,0.3,13,0.4,0,0,0,22.5,1.2,8.5,59,45,0.3,58.9
604,pound cake,kue bolu,116,6,14.6,0,1.7,0.2,66.3,0.1,7.4,0.09,59,55,88,48,0.4,0.1,87,0,0,0,0,10.5,0.4,3.3,41.1,35.7,0.1,33.47
605,pound cake bread,roti bolu,215,9.6,28.2,10,3.9,0.9,0,0.2,12.3,0,41,0,0,28,2.6,0.3,0.08,0,0,0.8,0,25.3,1.2,10.5,165,115.5,0.3,69.1
606,white cake,kue putih,264,9.2,42.3,26.3,4,0.6,1.5,0.2,17.2,43,0.1,37,0.07,0.2,1.1,0.1,0.02,0.1,0,73,0.04,96.2,1.1,8.9,68.8,70.3,0.2,153.59
607,coffeecake with chocolate frosting,kue kopi dengan lapisan coklat,298,9.7,48.4,0,4.5,1.8,62.1,0.3,26.2,41,6,36,0.01,24,0.8,0.4,51,15,0,0,0,34.2,0.5,13.5,67.5,70.2,0.4,99.233
608,popcorn cake,kue jagung,38,0.3,8,1,1,0.3,0,0.05,0.5,0,79,68,0,0.06,0.6,2,76,0,0,73,5,0.9,0.2,15.9,27.7,32.7,0.4,10.7
609,banana cream pie,pai krim pisang,3190,161.3,390.2,143,52.2,8.3,604.9,2.8,568.1,0.7,1.6,0.3,6,2.5,12.5,4.6,1.6,19,9,4.7,69,889.5,12.3,189.8,1091.1,1956.9,5.7,1533.5
610,baked apple pie mcdonalds,pai apel panggang mcdonalds,91,4.4,12.3,4.9,0.9,0.6,0,76,10.5,0,93,53,0,45,0.7,36,27,9.1,0,0.5,0,5.4,0.6,2,10.2,17.8,0,33.3
611,sponge cake,kue bolu,187,2.7,36.4,0,4.6,0,107.1,0.1,18.5,71,0.1,76,56,0.2,0.8,0.3,0.07,0,0,0,0,26.5,1,5.7,63,88.8,0.4,71.264
612,yellow cake,kue kuning,245,9.9,36,0,3.6,0.5,36.7,0.2,17.1,94,0.1,86,16,0.2,1,0.2,38,0.1,0,0,0,99.3,1.1,8.2,79.6,61.9,0.3,150.51
613,shortcake,kue kering,98,4,13.7,0,1.7,0,0.8,0.1,8,5,58,27,99,39,0.7,5,55,0.07,0,0,0,58,0.7,4.5,40.5,30,0.1,78.182
614,cherry pie,pai berisi buah ceri,486,22,69.3,0,5,0,0,0.3,82.4,27,0.3,81,0,0.2,2.3,0.2,16,1.8,0,0,0,18,3.3,16.2,54,138.6,0.4,119.444
615,dutch apple pie,pai apel belanda,397,15.8,61,30.2,3,2.2,0,0.3,56.3,8,0.3,33,0,0.07,1.5,0.1,0,7.8,0,1.3,71,19.2,1.2,11,39.7,104.1,0.3,110.281
616,chocolate cake,kue coklat,352,14.3,50.7,0,5,1.5,55.1,0.3,23.2,0,0.1,12,27,0.2,1.1,0.3,38,0.2,0,0,0,57,1.5,30.4,100.7,133,0.7,130.2
617,marshmallow,permen marzipan,64,33,16.3,11.5,0.4,13,0,39,3.3,0,15,11,0,28,38,14,62,0,0,0,0,0.6,38,0.4,1.6,1,0.06,17.445
618,sugar apple,srikaya,72,0.2,18.2,0,1.6,3.4,0,45,56.4,0,0,66,24,0,93,0.7,0.2,0.2,28,0,0,0,75,0.5,0,24.6,83,23.644
619,toffee,permen toffee,67,3.9,7.8,7.6,0.1,0,12.5,44,0.04,33,74,59,21,76,1,98,44,99,79,0,0.1,97,92,94,82,3.8,31,12.023
620,vanilla fudge with nuts,fudge vanila dengan kacang,123,3.9,21.1,20.1,0.8,0.3,3.7,75,2.3,64,79,12,18,77,42,46,41,74,0,87,56,13.3,0.1,6.8,20.7,29.1,0.2,39.577
621,peanuts chocolate coated,kacang dilapisi coklat,21,1.3,2,1.5,0.5,0.2,0.4,63,8,0.09,23,14,19,78,0.2,27,26,0,0,1,54,4.2,37,3.8,8.5,20.1,0.1,8.305
622,caramel with nuts chocolate coated,karamel dengan kacang dilapisi coklat,66,2.9,8.5,5.8,1.3,0.6,0,41,0.9,28,67,66,0,4,0.7,0,0.05,0.2,0,0.2,24,10.9,0.2,11.3,23.2,62.3,0.3,24.683
623,gingerbread,roti jahe,263,12.1,36.4,0,2.9,0,23.7,0.2,20.7,36,0.1,88,27,0.1,1.3,0.3,0.1,82,0,0,0,52.5,2.1,51.8,40,324.9,0.3,106.123
624,rolo nestle,rol sarang,24,1,0.2,78,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.234
625,vanilla fudge,permen rasa vanila,108,1.5,23.2,22.6,0.3,0,4.2,0.04,3.1,63,13,56,76,12,93,15,95,0,0,67,26,10.8,36,0.8,8.5,13.9,89,35.944
626,halavah,halavah,328,15.1,42.3,0,8.7,3.2,0,0.1,2.6,0,0.3,16,0,36,2,0.1,0.2,97,0,0,0,23.1,3.2,152.6,424.9,130.9,3,95.618
627,praline,coklat batangan,189,10.1,23.2,21.8,1.3,1.4,0,16,4,0,66,96,0,71,0.2,0.1,21,0.1,0,0.2,33,16.8,0.5,19.1,40.6,84.6,0.7,53.4
628,fruit juice bar,bar jus buah,67,89,15.6,13.5,0.9,0.8,0,11,60.3,0,22,32,0,55,0.1,99,94,7.3,0,0,92,3.9,0.1,3.1,4.6,40.8,68,28.671
629,peanut brittle,rempeyek,138,5.4,20.2,14.5,2.1,0.7,3.4,0.1,0.2,51,15,46,0,98,0.7,0.1,29,0,0,0.7,0.06,7.6,0.3,11.9,30,47.5,0.2,36.343
630,butterscotch,permen butterscotch,21,0.2,4.8,4.3,79,0,0.5,39,0.3,76,8,0,0,87,93,75,0,0,0,59,92,0.2,0.02,0,0.04,0.2,1,5.351
631,chocolate coffee beans,biji kopi coklat,155,9.4,15.6,14.4,2.1,1.6,5.7,6,0.7,49,7,16,63,11,52,0.1,2,0,0,0.1,0.04,47.8,0.6,18.1,53.2,116.9,0.6,77.127
632,nougat with almonds,nougat dengan almond,56,0.2,12.9,11.7,0.5,0.5,0,61,0.3,0,58,44,0,45,83,44,1,96,0,0.4,0,4.5,82,4.5,7.7,14.7,51,18.658
633,carob,buah carob,135,7.8,14.1,8.5,2,1,0.3,15,0.4,0,0,0.02,87,86,27,0.3,0.2,7,0.1,0,0.4,51,11,0.3,59,31.5,87,25.013
634,peanut butter fudge,selai kacang,62,1.1,12.4,11.7,0.6,0.1,0.5,85,1.7,81,64,0.09,95,0.07,0.2,28,52,0,0,0.2,68,6.7,72,3.2,10.9,19,21,21.055
635,sugar coated almonds,kacang almond berlapis gula,17,0.6,2.4,2.2,0.4,13,0,21,94,0,0.08,33,0,98,46,29,92,0,0,0.4,0,3.5,61,4.8,5.8,8.9,85,6.936
636,chocolate coated marshmallow,marshmallow berlapis coklat,118,4.7,19,12.5,1.1,0.6,0,2,2.8,43,0.07,2,98,27,0.2,0.1,87,93,0,22,0.03,12.9,0.7,10.1,27.2,51,0.2,39.096
637,raisins chocolate coated,kismis dilapisi coklat,390,14.8,68.4,62.2,4.1,3.1,3,21,11.2,59,18,16,66,0.2,0.4,0.3,0.08,0.2,0,0.3,54,86,1.7,45,143,514,1.3,178.329
638,chewing gum sugarless,permen karet tanpa gula,5,13,1.9,0,0,78,0,1,67,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,2.378
639,chewing gum,permen karet,11,32,2.9,2,0,12,0,83,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,2.973
640,chocolate syrup,sirup coklat,109,0.4,25.4,19.4,0.8,1,0,61,12.1,0,55,96,0,99,0.1,96,89,9,0,86,49,5.5,0.8,25.4,50.3,87.4,0.3,33.955
641,chocolate fudge syrup,sirup coklat fudge,67,1.7,12,6.6,0.9,0.5,0.2,84,4.1,0.07,15,79,29,77,0.02,73,46,23,0,0.5,35,9.3,0.2,9.1,18.4,54,0.2,24.726
642,m ms milk chocolate mars,m ms coklat susu mars,207,8.9,29.9,26.7,1.8,1.2,5.9,18,0.7,86,97,16,63,0.08,0.1,0.1,15,0.2,0,0.2,32,44.1,0.5,18.5,61.3,109.6,0.7,86.651
643,milk chocolate with almonds,coklat susu dengan almond,216,14.1,21.9,18,3.7,2.5,7.8,51,0.6,49,0.02,0.06,93,0.2,0.3,0.2,47,84,0,1.3,16,91.8,0.7,36.9,108.2,182,0.5,134.811
644,chocolate fudge,coklat fudge,70,1.8,13,12.4,0.4,0.3,2.4,32,1.7,67,28,62,61,29,54,11,44,0,0,75,68,8.3,0.3,6.1,12.1,22.8,0.2,24.119
645,milk chocolate with rice cereal,coklat susu dengan sereal beras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
646,m ms peanut chocolate mars,m ms kacang coklat mars,93,4.7,10.9,9.1,1.7,0.7,1.4,17,0.4,35,64,97,51,62,0.6,0.1,61,0,0,0.5,86,18.4,0.2,12.4,34.2,62.5,0.3,36.623
647,dark chocolate,coklat hitam,165,9.7,18,13.8,1.5,2.2,2.1,13,0.3,74,0,52,0,77,4,0.2,84,64,0,0,0.2,87,0.3,2.4,0.4,64.2,33,31.848
648,chocolate semisweet,coklat semimanis,806,50.4,107.4,91.6,7.1,9.9,0,42,1.2,0,23,94,0,0.2,0.7,0.2,36,0,0,0.4,66,53.8,5.3,193.2,221.8,613.2,2.7,233.9
649,after eight mints nestle,setelah delapan permen nestle,36,1,6.7,5.6,0.1,0.2,0,25,0.5,0,0,0,0,0,0,0,0,0,0,0,0,1.1,62,0,0,0,0,9.163
650,milk chocolate,coklat susu,37,2.1,4.2,3.6,0.5,0.2,1.6,45,0.1,49,97,33,0.01,66,79,87,89,0,0,3,17,13.2,0.2,4.4,14.6,26,0.2,20.464
651,white chocolate,coklat putih,162,9.6,17.8,17.7,1.8,81,6.3,9,0.4,72,72,51,22,91,0.2,0.2,42,0.2,0,0.3,82,59.7,25,3.6,52.8,85.8,0.2,89.212
652,chocolate,cokelat,208,14,24.8,21.1,1.6,2.3,0,1,0.2,0,94,69,0,26,0.3,19,91,0,0,0.1,74,9.8,1.1,46.3,60.3,118.9,0.6,53.6
653,twix mars,dua kali lipat mars,146,7.2,18.8,14,1.4,0.3,2,64,1.2,81,62,48,7,36,73,0.3,0.03,99,0.2,0,0.2,85,42,0.2,71,30.5,65,27.86
654,kit kat nestle,kitkat nestle,62,3.3,7.6,6.5,0.7,0.2,1.1,22,0.1,0,0,94,47,0,71,35,65,0,0.2,0,0,0,59,0.1,0,13.4,0,11.843
655,snickers mars,snickers mars,280,13.6,35.1,28.8,4.3,1.3,7.4,0.1,3.2,0.2,9,15,89,78,92,2.1,0.3,77,0.3,0,0.9,15,0.2,0.4,0.2,108.3,0,54.826
656,milky way mars,Bima Sakti Mars,264,10,41.3,34.6,2.3,0.6,5.2,21,3.7,0.1,65,85,79,11,81,0,0.09,68,0.4,72,0.5,38,47,0.3,95,38.9,73,54.438
657,clif bar,tebing bar,235,4,44.5,21.5,10,5,0,0.1,7.5,0,0.4,76,55,0.3,3,1.5,0.4,60,0,0.2,89,250.2,4.5,100,199.9,280.2,3,378.2
658,gum drops,tetes permen karet,18,42,4.4,3.5,0,0,0,8,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.418
659,skittles wild berry mars,skittles mars buah beri liar,249,2.6,56.3,47.1,0.1,0,0,36,2.4,0,0,0,0,0,0,0,0,41.6,0,0,0,0,0,0,0,0,0,100.6
